date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
3/29/2011,23.3001,24,23.2101,23.9199,755591,1.5947,2.88,14036450.45
3/30/2011,24.1101,24.4899,23.01,23.7099,1223876,1.5807,-0.88,14456887.65
3/31/2011,26.55,28.71,26.4999,27.75,11522339,1.85,17.04,22618537.25
4/1/2011,27.45,28.1799,26.5701,26.6601,2865086,1.7773,-3.93,23582277.45
4/4/2011,26.8299,27,25.23,25.83,2609226,1.722,-3.11,24014049.4
4/5/2011,25.8999,27,25.6899,26.7,3181726,1.78,3.37,25350456.35
4/6/2011,26.9901,27.0099,25.8,26.49,1288296,1.766,-0.79,25623138.35
4/7/2011,26.85,27.9399,26.4501,27.24,2810765,1.816,2.83,26968427.55
4/8/2011,27.5799,27.6003,26.3601,26.49,1946351,1.766,-2.75,27730096.05
4/11/2011,26.4699,26.5299,25.02,25.2699,1372199,1.6847,-4.6,27884767.8
4/12/2011,25.08,25.2099,24.3,24.6501,1357400,1.6433,-2.46,27913666.8
4/13/2011,25.1301,25.6899,24.81,24.93,1211443,1.662,1.14,27944992.8
4/14/2011,24.87,25.2801,24.2001,25.14,983381,1.676,0.84,27990651.3
4/15/2011,25.65,26.1801,25.41,25.5801,943450,1.7053,1.75,28182372.25
4/18/2011,25.1301,25.62,24.36,25.0299,1033870,1.6687,-2.15,28649037.95
4/19/2011,25.26,25.26,24.6501,25.1601,548693,1.6773,0.52,28623447.95
4/20/2011,25.7001,26.0901,25.2999,25.7499,837468,1.7167,2.35,28934454.9
4/21/2011,25.8501,26.9799,25.59,26.7399,1386052,1.7827,3.84,29627374.6
4/25/2011,26.7,26.73,25.9701,26.3901,800838,1.7593,-1.31,29802062.3
4/26/2011,26.6601,27.2499,26.31,26.9301,1372342,1.7953,2.05,30037806.05
4/27/2011,26.9301,27.36,26.6301,27.0801,996900,1.8053,0.56,30218788.5
4/28/2011,27.0699,27.69,26.7201,27.66,1644996,1.844,2.14,30534628.5
4/29/2011,27.69,27.87,27.42,27.6,726340,1.84,-0.22,22437628.9
5/2/2011,27.6,27.8001,27.06,27.45,784559,1.83,-0.54,20877233.7
5/3/2011,27.3801,27.39,26.4999,26.8701,913964,1.7913,-2.11,19605787.25
5/4/2011,26.7801,27,25.7499,26.6901,1047168,1.7793,-0.67,18004868.8
5/5/2011,27.2001,27.4401,26.1702,26.4399,1219448,1.7627,-0.93,17953232.8
5/6/2011,26.9001,27.6999,26.6199,27.12,981605,1.808,2.57,16581362.85
5/9/2011,27,27.9999,26.85,27.9099,916302,1.8607,2.91,15808826.1
5/10/2011,28.2399,28.95,27.9099,28.3299,1535625,1.8887,1.5,15931395.6
5/11/2011,28.2,28.2984,26.9199,27.0699,962964,1.8047,-4.45,15635568.6
5/12/2011,27.0699,27.7401,26.6499,27.6699,627740,1.8447,2.22,15197790.65
5/13/2011,27.9999,28.1892,27.3,27.5499,661577,1.8367,-0.43,14956436.95
5/16/2011,27.99,27.99,26.55,26.6001,755622,1.7733,-3.45,14815565.25
5/17/2011,27,27,25.7199,25.9599,1234155,1.7307,-2.4,14965779
5/18/2011,26.1,26.4699,25.5201,26.3499,729407,1.7567,1.5,15101314.5
